hear_difficulty,modality,family,n_trials,n_participants,accuracy_overall,mu,lam,converged,note
多少ある（聞き返すことがある等）,audio,,399,19,0.416,30.25201,0.67243,True,参考(参加者19人<20)
多少ある（聞き返すことがある等）,visual,fade,90,15,0.6333,1.84138,1.0,True,参考(参加者15人<20)
多少ある（聞き返すことがある等）,visual,reveal,90,15,0.5222,1.67542,1.0,True,参考(参加者15人<20)
多少ある（聞き返すことがある等）,visual,blur,90,15,0.7333,33.98817,0.9622,True,参考(参加者15人<20)
多少ある（聞き返すことがある等）,visual,wipe,90,15,0.2444,24.59554,0.88325,True,参考(参加者15人<20)
多少ある（聞き返すことがある等）,visual,ALL,360,15,0.5333,1.74179,0.74013,True,参考(参加者15人<20)
支障なし,audio,,1491,71,0.3924,30.58238,0.63424,True,
支障なし,visual,fade,891,147,0.6532,1.6238,0.9619,True,
支障なし,visual,reveal,888,147,0.4854,1.53474,0.90032,True,
支障なし,visual,blur,889,147,0.667,46.40372,1.0,True,
支障なし,visual,wipe,889,147,0.261,27.28676,0.96461,True,
支障なし,visual,ALL,3557,147,0.5167,22.60974,1.0,True,
(未回答),audio,,0,0,,,,False,データなし
(未回答),visual,fade,1,1,0.0,,0.0,False,水準が1つしかなく mu・sigma は推定不可(観測正答率のみ);参考(参加者1人<20)
(未回答),visual,reveal,0,0,,,,False,データなし
(未回答),visual,blur,1,1,1.0,,1.0,False,水準が1つしかなく mu・sigma は推定不可(観測正答率のみ);参考(参加者1人<20)
(未回答),visual,wipe,0,0,,,,False,データなし
(未回答),visual,ALL,2,1,0.5,18.62769,1.0,True,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);参考(参加者1人<20)
